joint,metric,height_bin,azimuth_bin,height_label,n_azimuth,n_distance,model,bias_mean,bias_median,bias_std,n,reliability_weight
L_Shoulder,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,49.303885082734396,49.38885549966179,5.032487679749354,8,0.06750130237060224
R_Shoulder,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,44.23235513243955,45.606550112724165,4.373035964622194,8,0.06900152569739243
L_Elbow,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,27.776860995990955,27.96561366823981,4.163861496398006,8,0.06948431878940976
R_Elbow,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,11.8664572321829,11.598024402963738,2.803973814780321,8,0.07270649262026466
L_Hip,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,15.314614546283934,15.043112876825612,3.7220597071975425,8,0.07051516721564965
R_Hip,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,49.4333907708167,49.44131862461369,3.72582435312752,8,0.07050631894959575
L_Knee,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,21.073825004339124,20.210196267776382,3.6921895126814537,8,0.07058541223909055
R_Knee,angle_mae,2,5,Y=1.5,8,1,Model4_ViewBin,16.43003176432335,15.678260672839553,3.2937522549521177,8,0.07152912715653709
L_Shoulder,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,49.34397731819349,46.09099822147076,8.87619979550724,10,0.07414119250630433
R_Shoulder,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,43.77304687793247,44.03749474486273,3.7166099634133634,12,0.10551159024110907
L_Elbow,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,27.097435768502272,27.04976341111174,5.042284474983629,10,0.0842483057690336
R_Elbow,angle_mae,2,6,Y=1.5,8,1,Model4_ViewBin,11.022706074867182,11.710190782447054,3.7162956656880115,12,0.10551269564865987
