joint_short,height_bin,azimuth_bin,raw_abs_theta,signed_mean,n_test,bias_signed_theta,abs_bias,n_calib,corr_abs_theta,improvement,r2,n
R_Elbow,0,5,56.33465063288461,56.3346506328846,135,58.94374741847383,59.812518183431116,331,2.609096785589223,95.36857554581833,0.9140982358958896,9
R_Elbow,0,6,49.77614969639004,49.77614969639006,99,46.92476612147076,49.578848746827816,524,2.851383574919282,94.2715867090739,0.5634297268346392,11
R_Elbow,0,7,29.83410308536871,29.83410308536871,18,27.085414248659532,28.80951204293452,431,2.748688836709178,90.786755583555,0.6357280000873096,10
R_Elbow,1,0,25.129941166352715,25.129941166352715,239,25.753058669645377,26.102886616980467,514,0.6231175032926615,97.52041797802944,0.4159949126463953,13
R_Elbow,1,1,43.951865096828946,43.951865096828946,56,41.6306867919765,41.6306867919765,531,2.3211783048524453,94.71881727945166,0.9114590097593008,10
R_Elbow,1,2,53.81098991864982,53.81098991864982,195,58.366184451122216,59.071152908414724,589,4.555194532472399,91.53482487618452,0.7900986362631671,12
R_Elbow,1,3,72.20957938808564,72.20957938808564,77,74.0556966308432,74.65803892764468,393,1.8461172427575576,97.44339011748605,0.5496451662781086,15
R_Elbow,1,4,74.88335151310422,74.88335151310422,99,76.69489766737429,77.45037084704694,453,1.8115461542700757,97.58084258027225,0.8620300409074687,15
R_Elbow,1,5,65.19004529368176,65.19004529368175,125,58.39671483793296,59.103334165540765,361,6.7933304557488015,89.57919046513193,0.4510468355232447,11
R_Elbow,1,7,28.968952499953616,28.96895249995362,52,31.129461665985943,31.129461665985943,382,2.160509166032327,92.54198381513523,0.1092378882149116,12
R_Elbow,2,0,28.74744317843543,20.101370620812975,203,25.952806739382627,26.524743250536723,556,2.794636439052802,90.27866088226877,0.5845040150306555,11
R_Elbow,2,1,43.540743688398244,43.540743688398244,275,42.137947023656345,42.748809730038865,471,1.4027966647418992,96.77819773869484,0.9364058949475452,11
R_Elbow,2,2,58.80189418278322,58.80189418278322,144,56.727694330870136,56.72769433087014,405,2.074199851913086,96.47256286427522,0.7793513008397623,10
